cnf,solution,abcdsat-2015,berkmin-2003,boehm1-1992,cadical-2019,chaff-2001,cryptominisat-fixed-2010,glucose-2011,glucose-2012,grasp-1997,kissat-2020,kissat-mab-2021,kissat-mab-hywalk-2022,limmat-2002,lingeling-2013,lingeling-2014,maple-comsps-drup-2016,maple-lcm-disc-cb-dl-v3-2019,maple-lcm-dist-2017,maple-lcm-dist-cb-2018,minisat-2006,minisat-2008,posit-fixed-1995,precosat-2009,rsat-fixed-2007,satelite-gti-2005,sbva-cadical-2023,zchaff-2004
manthey_single-ordered-initialized-w20-b10,SATISFIABLE,0.17,0.04,14.83,0.02,0.38,0.09,0.16,0.12,56.67,0.08,0.08,0.08,0.31,0.36,0.55,0.09,0.20,0.31,0.27,0.15,0.05,25.82,0.17,0.25,0.26,0.49,0.08
manthey_single-ordered-initialized-w20-b7,UNSATISFIABLE,0.43,0.18,4.71,0.19,0.32,0.17,0.13,0.18,19.59,0.22,0.20,0.19,0.33,0.48,0.50,0.13,0.36,0.35,0.37,0.14,0.11,5.66,0.16,0.17,0.22,0.55,0.40
manthey_single-ordered-initialized-w20-b8,UNSATISFIABLE,0.46,0.23,6.94,0.22,0.37,0.25,0.16,0.14,50.78,0.18,0.25,0.26,0.41,0.44,0.75,0.15,0.25,0.39,0.29,0.24,0.17,11.50,0.16,0.22,0.18,0.62,0.31
manthey_single-ordered-initialized-w22-b6,UNSATISFIABLE,0.17,0.36,8.62,0.32,0.64,0.24,0.19,0.22,50.35,0.25,0.23,0.23,0.93,1.34,1.37,0.21,1.55,1.33,1.41,0.29,0.17,5.48,0.25,0.28,0.35,0.70,0.86
manthey_single-ordered-initialized-w22-b8,UNSATISFIABLE,0.30,0.32,23.00,0.35,0.70,0.34,0.23,0.31,95.95,0.37,0.28,0.29,0.90,0.81,1.11,0.33,0.94,1.16,1.15,0.30,0.37,22.26,0.37,0.52,0.35,0.90,0.86
manthey_single-ordered-initialized-w24-b7,UNSATISFIABLE,1.19,0.95,45.58,0.73,2.24,0.72,0.38,0.39,273.25,0.59,0.64,0.66,3.46,2.19,2.07,0.56,4.51,5.32,5.37,0.63,0.49,21.36,0.60,0.66,1.09,1.48,2.01
manthey_single-ordered-initialized-w24-b9,UNSATISFIABLE,0.44,0.83,103.18,0.93,3.07,0.55,0.42,0.44,629.68,0.53,0.63,0.79,2.26,1.58,2.39,0.52,3.02,2.24,1.90,0.58,0.62,85.93,0.51,0.84,0.59,2.18,2.30
manthey_single-ordered-initialized-w26-b7,UNSATISFIABLE,2.39,1.52,140.43,1.13,5.71,1.14,0.94,0.68,2169.25,1.16,1.39,1.41,6.67,2.66,4.14,1.18,7.10,5.70,6.36,1.55,0.76,41.01,1.09,1.23,1.31,2.01,5.51
manthey_single-ordered-initialized-w26-b8,UNSATISFIABLE,1.95,2.24,174.08,1.23,4.30,1.32,1.06,0.63,3633.06,1.27,1.43,1.51,6.13,2.87,3.21,1.30,7.41,6.78,6.49,1.00,0.73,81.42,1.27,1.48,1.20,1.93,4.78
manthey_single-ordered-initialized-w28-b8,UNSATISFIABLE,3.24,3.64,495.22,2.99,9.86,4.02,1.33,1.54,FAILED,3.62,2.68,2.97,13.56,4.84,5.61,2.39,9.71,8.45,9.00,3.66,1.56,196.04,2.76,3.14,3.17,4.58,12.02
