cnf,solution,abcdsat-2015,berkmin-2003,boehm1-1992,cadical-2019,chaff-2001,cryptominisat-fixed-2010,glucose-2011,glucose-2012,grasp-1997,kissat-2020,kissat-mab-2021,kissat-mab-hywalk-2022,limmat-2002,lingeling-2013,lingeling-2014,maple-comsps-drup-2016,maple-lcm-disc-cb-dl-v3-2019,maple-lcm-dist-2017,maple-lcm-dist-cb-2018,minisat-2006,minisat-2008,posit-fixed-1995,precosat-2009,rsat-fixed-2007,satelite-gti-2005,sbva-cadical-2023,zchaff-2004
AProVE09-12,SATISFIABLE,5.77,0.80,FAILED,0.52,0.41,0.62,0.48,0.48,82.97,0.35,0.35,0.36,0.31,2.06,2.16,1.76,1.80,1.81,1.78,0.41,0.38,FAILED,1.77,0.85,0.61,2.36,0.67
AProVE09-13,SATISFIABLE,0.21,0.10,FAILED,0.09,0.08,0.18,0.15,0.22,0.79,0.04,0.04,0.04,0.09,0.37,0.52,0.10,0.08,0.13,0.13,0.11,0.11,FAILED,0.22,0.25,0.20,0.41,0.07
AProVE09-15,SATISFIABLE,21.26,45.20,FAILED,7.81,43.77,5.24,4.72,5.02,FAILED,5.88,14.76,15.27,61.97,16.95,36.52,3.96,30.81,38.15,39.66,4.22,5.08,FAILED,9.98,9.62,1.93,18.06,91.37
AProVE09-17,SATISFIABLE,11.18,29.04,FAILED,6.50,45.06,33.39,5.76,4.45,FAILED,7.91,7.20,6.95,1218.41,9.15,14.21,3.56,22.94,20.46,20.94,1.82,3.90,FAILED,4.24,2.79,0.61,3.56,57.78
AProVE09-19,SATISFIABLE,5.29,2.90,FAILED,0.87,2.40,0.56,4.18,2.10,688.87,0.34,0.29,0.35,3.95,3.34,11.99,0.94,24.05,9.78,6.37,0.57,1.57,FAILED,4.35,1.40,0.99,1.88,0.49
AProVE09-20,SATISFIABLE,41.75,1565.07,FAILED,29.44,19.48,27.87,47.56,69.49,FAILED,21.10,23.80,23.15,FAILED,48.48,46.83,44.89,32.36,30.44,26.62,1552.14,37.25,FAILED,32.17,29.25,933.82,35.35,FAILED
AProVE09-21,SATISFIABLE,2.66,40.64,FAILED,0.11,164.77,1.40,0.78,1.72,3029.76,0.09,0.10,0.06,70.03,5.29,2.78,1.43,24.08,15.97,21.69,1.02,0.70,FAILED,0.58,2.93,1.33,6.84,110.97
AProVE09-22,SATISFIABLE,1.77,0.15,38.21,0.07,0.11,0.14,0.26,0.21,0.54,0.09,0.12,0.13,0.23,0.46,0.52,0.15,1.77,1.70,1.95,0.17,0.15,FAILED,0.44,0.28,0.26,0.48,0.21
AProVE09-24,SATISFIABLE,8.78,67.38,FAILED,4.34,3.28,3.19,1.71,2.21,551.03,5.43,3.32,3.98,4.75,8.93,16.61,3.35,23.20,22.55,13.66,2.89,0.80,FAILED,1.98,2.46,4.01,5.72,185.80
AProVE09-25,SATISFIABLE,1.60,0.60,FAILED,0.51,0.23,0.60,0.84,0.60,30.72,0.29,0.30,0.27,0.75,1.63,1.65,1.28,12.81,12.73,6.98,0.70,0.38,FAILED,0.81,0.54,0.62,1.70,0.67
AProVE11-01,SATISFIABLE,580.74,2.73,73.30,6.00,1.05,6.94,5.93,4.15,9.22,2.04,2.00,2.01,0.92,10.61,10.08,9.35,100.19,84.54,108.11,3.68,3.39,FAILED,8.18,5.11,3.44,22.82,193.01
AProVE11-02,SATISFIABLE,576.74,2.14,62.62,5.89,0.99,7.25,4.19,3.23,9.10,2.03,2.05,2.05,1.35,10.75,11.60,7.37,97.02,101.58,101.77,2.42,2.48,FAILED,7.21,3.44,2.73,27.59,186.30
AProVE11-05,SATISFIABLE,26.17,49.88,FAILED,16.37,6.96,8.28,3.05,4.22,FAILED,4.57,9.59,9.23,31.04,13.54,45.56,7.42,28.03,23.91,30.26,2.22,2.97,FAILED,9.05,2.62,3.87,9.21,675.15
AProVE11-06,UNSATISFIABLE,2637.91,FAILED,FAILED,2521.20,FAILED,3233.67,FAILED,3302.00,FAILED,3324.81,3869.11,3885.68,FAILED,3287.38,FAILED,2550.37,4097.55,3829.73,3743.65,FAILED,1900.74,FAILED,4019.02,FAILED,FAILED,2060.26,FAILED
AProVE11-07,SATISFIABLE,28.27,33.29,FAILED,10.98,2.89,17.90,4.77,4.73,FAILED,7.96,5.21,5.80,4.87,24.00,44.62,8.87,20.84,21.58,14.13,3.05,6.37,FAILED,19.46,4.89,4.04,25.59,46.72
AProVE11-08,SATISFIABLE,27.24,43.32,FAILED,3.74,5.81,12.86,5.36,5.83,FAILED,8.66,9.71,9.45,7.64,31.04,37.67,8.52,39.53,59.58,45.49,4.40,4.79,FAILED,17.94,4.68,3.98,11.62,43.44
AProVE11-09,SATISFIABLE,2.54,1.36,FAILED,0.77,1.64,1.00,1.08,1.58,11.43,0.43,0.42,0.30,2.51,2.74,3.05,1.39,33.77,46.50,34.99,3.84,0.81,FAILED,1.67,3.24,1.13,2.45,0.67
AProVE11-10,SATISFIABLE,64.34,15.19,FAILED,29.02,4.74,13.28,6.14,13.74,FAILED,35.19,20.74,21.02,1.91,9.73,46.11,8.92,167.46,257.50,270.64,3.46,26.51,FAILED,7.65,7.45,4.62,23.84,26.21
AProVE11-11,UNSATISFIABLE,258.39,199.03,FAILED,28.41,424.03,67.27,17.56,15.60,FAILED,23.53,24.82,30.26,FAILED,47.84,64.45,27.09,45.77,61.29,50.30,66.06,16.00,FAILED,38.86,32.55,55.32,26.40,1120.62
AProVE11-12,SATISFIABLE,4.28,1.47,FAILED,0.70,0.62,0.93,0.73,0.89,FAILED,0.32,0.24,0.29,0.38,1.62,1.75,2.21,5.90,7.26,6.08,0.49,0.46,FAILED,1.34,0.76,0.66,2.32,1.84
AProVE11-13,SATISFIABLE,33.65,5.97,2.15,1.45,2.36,14.73,11.37,13.08,12.61,20.32,14.60,14.16,3.20,19.42,59.19,23.77,375.28,137.27,184.37,5.44,6.67,FAILED,21.99,13.97,6.22,106.90,16.28
AProVE11-15,SATISFIABLE,22.15,601.93,FAILED,11.65,10.59,13.64,2.88,8.71,FAILED,5.42,26.49,4.36,166.96,28.63,36.65,3.90,37.73,20.37,22.40,1.66,4.65,FAILED,6.02,3.23,1.65,13.76,1651.55
AProVE11-16,SATISFIABLE,10.97,5.62,FAILED,1.23,1.17,1.73,1.46,1.81,428.73,0.67,1.19,0.78,0.41,3.97,4.52,2.51,3.84,4.66,4.13,1.72,0.95,FAILED,2.54,1.85,2.30,3.58,13.83
ASG_72_keystream76_1,SATISFIABLE,625.55,FAILED,FAILED,393.12,FAILED,187.56,3653.79,FAILED,FAILED,705.22,175.59,175.37,FAILED,701.35,4267.63,1001.03,2667.39,FAILED,2691.85,3608.38,4534.00,4499.35,1026.18,4.24,1576.66,824.57,FAILED
ASG_96_len112_known_last12_2,SATISFIABLE,1349.22,FAILED,FAILED,645.08,1257.66,FAILED,134.12,1527.41,FAILED,1894.97,408.68,406.60,FAILED,2019.83,119.91,422.73,1271.16,1488.02,1270.81,FAILED,1796.01,FAILED,1499.73,FAILED,2002.84,2023.28,FAILED
ASG_96_len112_known_last13_2_u,UNSATISFIABLE,1209.72,FAILED,4712.95,896.96,FAILED,1164.03,690.70,818.19,FAILED,706.30,840.48,837.30,FAILED,957.56,1069.89,828.30,1054.29,831.51,817.70,1439.53,2769.10,FAILED,1262.39,4584.05,1332.16,768.12,FAILED
Bibd-sc-10-03-08_c18,SATISFIABLE,5.98,51.49,FAILED,2.74,23.36,10.75,10.18,5.73,467.02,5.02,3.91,3.95,8.02,16.80,25.61,7.08,17.32,19.12,16.99,18.05,3.76,FAILED,4.63,6.75,14.77,8.59,FAILED
Brinkmann-k9,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
C168_FW_UT_518,SATISFIABLE,0.03,0.05,0.01,0.01,0.02,0.02,0.03,0.03,0.02,0.01,0.01,0.01,0.01,0.03,0.09,0.01,0.01,0.02,0.02,0.02,0.02,0.04,0.02,0.05,0.04,0.49,0.02
C168_FW_UT_851,UNSATISFIABLE,0.01,0.02,0.02,0.01,0.02,0.02,0.04,0.03,0.03,0.01,0.01,0.01,0.01,0.01,0.05,0.02,0.02,0.02,0.02,0.02,0.02,0.07,0.01,0.04,0.04,0.48,0.02
C171_FR.cnf.mis-128.debugged,UNSATISFIABLE,34.14,182.78,FAILED,66.72,2610.43,91.59,31.25,33.97,FAILED,56.63,59.27,59.07,FAILED,70.29,63.53,44.35,91.00,57.75,69.68,271.51,255.03,FAILED,165.96,337.66,156.75,16.12,987.37
C202_FW_SZ_61,UNSATISFIABLE,0.01,0.02,0.01,0.01,0.02,0.01,0.03,0.03,0.03,0.01,0.01,0.01,0.01,0.02,0.10,0.02,0.02,0.02,0.02,0.02,0.02,FAILED,0.01,0.04,0.03,0.54,0.02
C208_FA_UT_3254,UNSATISFIABLE,0.01,0.06,0.01,0.01,0.02,0.01,0.03,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.05,0.02,0.02,0.02,0.01,0.03,0.03,FAILED,0.01,0.04,0.03,0.62,0.02
C210_FW_UT_8630,UNSATISFIABLE,0.01,0.05,0.04,0.01,0.03,0.03,0.06,0.07,0.03,0.01,0.01,0.01,0.01,0.05,0.16,0.03,0.03,0.03,0.03,0.04,0.03,0.07,0.01,0.06,0.06,0.53,0.02
C250_FW.cnf.mis-138.debugged,UNSATISFIABLE,79.06,206.39,FAILED,51.01,FAILED,262.11,15.04,14.97,FAILED,48.34,35.85,36.91,FAILED,82.81,134.52,26.74,32.26,30.75,29.98,719.09,1317.73,FAILED,104.97,852.65,386.04,14.36,999.54
C3-2-31,SATISFIABLE,816.88,FAILED,FAILED,107.39,65.82,164.50,125.97,407.68,FAILED,25.56,15.38,15.59,FAILED,42.06,107.11,42.15,48.98,50.51,50.51,35.04,39.29,FAILED,92.56,10.18,45.26,300.54,FAILED
C880mul.miter.shuffled-as.sat03-348,UNSATISFIABLE,1.83,14.46,FAILED,1.04,FAILED,9.50,3.69,1.17,FAILED,0.85,0.87,0.92,FAILED,3.59,4.33,1.38,5.19,5.46,4.65,24.83,2.12,FAILED,1.97,24.32,25.76,1.23,42.39
CNP-5-0,SATISFIABLE,1594.39,FAILED,FAILED,321.86,FAILED,647.98,619.73,925.88,FAILED,178.09,166.60,216.20,FAILED,FAILED,FAILED,FAILED,4559.59,564.75,1609.48,FAILED,FAILED,FAILED,4946.41,731.74,3009.34,735.62,FAILED
CNP-5-100,SATISFIABLE,FAILED,FAILED,FAILED,891.89,FAILED,593.69,2295.27,1344.67,FAILED,90.82,270.71,19.07,FAILED,705.04,FAILED,FAILED,4537.77,375.28,FAILED,FAILED,660.58,FAILED,1475.79,2825.98,4934.84,775.13,FAILED
CNP-5-1000,SATISFIABLE,3457.01,FAILED,FAILED,189.15,FAILED,633.83,641.08,161.89,FAILED,25.86,25.09,87.10,FAILED,3000.47,67.72,294.41,962.78,270.64,779.60,FAILED,327.69,FAILED,1449.43,499.00,1446.86,251.29,FAILED
CNP-5-1100,SATISFIABLE,2149.52,FAILED,FAILED,211.68,FAILED,FAILED,394.45,88.98,FAILED,64.77,43.01,120.46,FAILED,99.30,234.69,1055.72,580.33,147.60,756.20,FAILED,116.74,FAILED,1142.50,19.10,2189.96,225.39,FAILED
CNP-5-1200,SATISFIABLE,579.38,FAILED,FAILED,156.64,FAILED,161.17,580.87,9.16,FAILED,8.03,82.29,24.32,FAILED,388.62,602.97,1498.35,920.07,255.04,260.20,FAILED,90.92,FAILED,145.17,189.12,1138.81,50.39,FAILED
CNP-5-1300,SATISFIABLE,944.20,FAILED,FAILED,205.34,FAILED,1893.56,3235.86,29.44,FAILED,25.98,7.59,58.09,FAILED,747.56,869.18,561.90,1569.80,1777.92,238.96,3826.87,103.54,FAILED,266.39,1988.33,4465.68,149.84,FAILED
CNP-5-1400,SATISFIABLE,3592.59,FAILED,FAILED,148.39,FAILED,33.52,40.31,13.85,FAILED,105.29,10.94,24.60,FAILED,129.63,211.55,4894.07,155.03,588.32,166.11,3743.94,136.38,FAILED,59.00,68.10,180.43,162.63,FAILED
CNP-5-1500,SATISFIABLE,1173.90,FAILED,FAILED,191.54,124.97,FAILED,27.43,485.75,FAILED,3.91,15.11,7.61,FAILED,150.76,1309.20,573.33,472.12,356.40,696.27,FAILED,165.56,FAILED,160.96,711.65,1689.16,238.87,FAILED
CNP-5-1600,SATISFIABLE,1958.35,FAILED,FAILED,165.84,FAILED,FAILED,1660.07,105.92,FAILED,32.20,55.97,37.83,FAILED,124.46,89.67,557.96,351.31,610.50,56.79,1230.61,211.74,FAILED,353.30,117.66,2404.46,63.30,FAILED
CNP-5-1700,SATISFIABLE,427.65,FAILED,FAILED,9.45,FAILED,FAILED,242.62,18.03,FAILED,54.10,25.96,21.71,FAILED,182.85,198.88,408.80,175.52,94.86,42.19,905.45,172.58,FAILED,15.96,73.25,1276.07,260.69,FAILED
CNP-5-1800,SATISFIABLE,1015.19,FAILED,FAILED,151.45,FAILED,105.38,1536.25,29.74,FAILED,23.02,7.65,50.26,FAILED,144.50,531.42,401.73,543.04,644.90,108.60,1199.44,80.64,FAILED,52.18,179.40,4007.74,47.70,FAILED
CNP-5-1900,SATISFIABLE,158.75,FAILED,FAILED,161.22,FAILED,117.68,598.13,101.29,FAILED,125.77,20.18,37.61,FAILED,82.33,230.33,152.09,415.02,357.91,210.85,3352.98,11.55,FAILED,1047.52,37.17,741.96,48.51,FAILED
CNP-5-200,SATISFIABLE,FAILED,FAILED,FAILED,791.24,FAILED,169.00,734.75,449.37,FAILED,148.98,65.41,48.84,FAILED,259.98,FAILED,1438.78,183.84,FAILED,FAILED,FAILED,4043.48,FAILED,4469.44,33.46,FAILED,240.23,FAILED
CNP-5-300,SATISFIABLE,1715.63,FAILED,FAILED,871.79,FAILED,FAILED,FAILED,385.77,FAILED,152.22,30.06,273.16,FAILED,197.29,FAILED,2320.50,2063.35,FAILED,FAILED,FAILED,1625.33,FAILED,548.68,3286.33,FAILED,275.70,FAILED
CNP-5-400,SATISFIABLE,2720.12,FAILED,FAILED,213.08,FAILED,FAILED,FAILED,318.73,FAILED,248.01,98.81,58.31,FAILED,1902.51,FAILED,121.28,FAILED,FAILED,680.58,2935.23,340.33,FAILED,4402.28,FAILED,2811.28,66.60,FAILED
CNP-5-500,SATISFIABLE,2572.75,FAILED,FAILED,820.24,FAILED,FAILED,128.85,1099.74,FAILED,170.42,62.87,58.65,FAILED,75.71,2919.33,FAILED,FAILED,627.36,FAILED,FAILED,1440.11,FAILED,626.32,3070.63,FAILED,181.08,FAILED
CNP-5-600,SATISFIABLE,FAILED,FAILED,FAILED,210.66,FAILED,944.37,533.73,141.47,FAILED,125.80,116.34,115.82,FAILED,1075.20,512.92,200.42,FAILED,2212.09,1694.55,FAILED,251.55,FAILED,4913.88,1073.85,1356.46,235.66,FAILED
CNP-5-700,SATISFIABLE,2689.74,FAILED,FAILED,700.53,FAILED,805.02,FAILED,1597.06,FAILED,205.03,44.83,67.68,FAILED,321.90,FAILED,2214.11,111.34,1060.52,60.46,FAILED,418.35,FAILED,554.50,624.60,FAILED,203.33,FAILED
CNP-5-800,SATISFIABLE,571.47,FAILED,FAILED,291.87,FAILED,35.22,2401.68,241.52,FAILED,61.42,68.02,27.23,FAILED,576.51,3047.64,2325.54,181.71,473.25,FAILED,FAILED,108.76,FAILED,479.88,225.16,FAILED,256.14,FAILED
CNP-5-900,SATISFIABLE,1409.11,FAILED,FAILED,211.60,FAILED,FAILED,57.76,366.80,FAILED,57.40,56.97,264.30,FAILED,1053.96,237.68,1342.05,2054.82,157.20,1461.52,FAILED,113.76,FAILED,524.31,100.18,FAILED,241.93,FAILED
Cake_8_16,SATISFIABLE,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,268.19,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
Cake_9_19,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
Cake_9_20,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
Chvatal-k5,SATISFIABLE,1.29,0.06,FAILED,0.14,0.96,0.11,0.56,0.23,147.45,0.05,0.07,0.07,0.17,0.58,4.39,0.07,8.91,6.22,5.37,0.86,0.83,358.60,0.50,0.22,0.15,1.29,0.33
Circuit_multiplier18,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
Circuit_multiplier22,SATISFIABLE,264.58,FAILED,FAILED,553.63,373.17,4801.81,6.83,2796.46,FAILED,290.55,1186.92,38.34,282.33,4710.19,1393.43,487.44,194.12,111.08,293.37,FAILED,1139.60,FAILED,1360.58,FAILED,FAILED,675.59,FAILED
Circuit_multiplier24,SATISFIABLE,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,185.35,1601.22,1069.32,FAILED,FAILED,FAILED,1034.71,2208.94,FAILED,2143.07,FAILED,FAILED,FAILED,3580.61,FAILED,FAILED,4105.83,FAILED
Circuit_multiplier25,SATISFIABLE,FAILED,FAILED,FAILED,3161.60,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,719.37,FAILED,554.77,FAILED,FAILED,FAILED,607.29,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
Circuit_multiplier26,SATISFIABLE,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,1336.28,FAILED,FAILED,FAILED,FAILED,682.87,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,2123.80,FAILED,FAILED,FAILED
Circuit_multiplier29,SATISFIABLE,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,74.06,74.80,FAILED,FAILED,FAILED,2016.39,3412.63,2497.51,FAILED,FAILED,3382.94,FAILED,FAILED,FAILED,FAILED,1341.50,FAILED
Circuit_multiplier34,SATISFIABLE,3511.39,FAILED,FAILED,1439.74,FAILED,1200.63,1002.40,4345.28,FAILED,1983.59,1989.78,1927.05,FAILED,30.32,FAILED,1660.33,1720.64,1092.48,1072.50,1293.27,1201.59,FAILED,4328.57,FAILED,4928.40,982.58,FAILED
Circuit_multiplier45,SATISFIABLE,FAILED,FAILED,FAILED,951.64,FAILED,FAILED,FAILED,FAILED,FAILED,1561.58,4354.35,264.15,FAILED,FAILED,FAILED,FAILED,1761.75,FAILED,1486.95,3989.68,3803.92,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
Circuit_multiplier53,SATISFIABLE,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,4574.86,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,4309.89,FAILED,FAILED,FAILED,FAILED
Composite-024BitPrimes-0.used-as.sat04-860,SATISFIABLE,66.92,1510.80,337.33,99.81,3811.21,43.45,149.98,93.76,FAILED,26.58,55.44,54.92,FAILED,182.18,48.70,43.46,130.26,28.78,74.50,11.74,1.33,398.80,7.18,188.97,3.06,74.27,3060.21
Composite-024BitPrimes-1.used-as.sat04-861,SATISFIABLE,258.08,FAILED,1253.89,18.48,FAILED,215.09,129.17,731.58,FAILED,206.87,235.49,320.53,FAILED,218.51,453.14,52.16,64.89,44.09,58.17,110.01,52.15,396.66,34.96,2165.12,58.91,269.37,2246.89
Composite-032BitPrimes-1.used-as.sat04-863,SATISFIABLE,FAILED,FAILED,FAILED,1599.27,FAILED,4603.08,FAILED,FAILED,FAILED,FAILED,168.12,167.41,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,3310.33,FAILED,FAILED,FAILED,FAILED
Composite-048BitPrimes-1.sat05-504.reshuffled-07,UNSATISFIABLE,FAILED,FAILED,FAILED,FAILED,FAILED,11.66,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
Composite-064BitPrimes-0.shuffled-as.sat05-505,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
Composite-064BitPrimes-1.used-as.sat04-867,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
Composite-096BitPrimes-0.sat05-507.reshuffled-07,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
CompositeRSA576.shuffled-as.sat05-509,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
CompositeRSA640.used-as.sat04-871,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
DLTM_twitter249_74_10,UNSATISFIABLE,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,4278.80,4218.62,FAILED,4565.28,FAILED,FAILED,FAILED,FAILED,2934.20,1820.14,3129.95,2089.74,1746.54,FAILED,4099.67,FAILED,FAILED,FAILED,FAILED,2973.64,FAILED
DLTM_twitter249_74_11,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
DLTM_twitter304_77_11,UNSATISFIABLE,3352.78,FAILED,FAILED,2329.05,FAILED,3398.78,1701.33,1496.24,FAILED,1642.34,2124.77,2198.04,FAILED,4773.82,2124.36,568.58,1211.81,659.64,636.86,4761.39,1733.86,FAILED,3675.53,FAILED,4642.76,1494.15,FAILED
DLTM_twitter405_71_12,SATISFIABLE,142.61,1144.72,FAILED,513.03,2062.68,577.75,301.45,482.28,FAILED,60.59,47.25,70.55,FAILED,494.52,286.95,29.98,390.27,417.32,142.12,771.22,531.32,454.25,764.29,2607.99,1862.21,118.50,FAILED
DLTM_twitter454_70_11,UNSATISFIABLE,932.14,4397.10,FAILED,532.86,FAILED,1043.05,449.80,420.13,FAILED,632.54,819.75,818.14,FAILED,1079.77,588.28,290.36,427.88,316.94,336.59,973.06,1046.63,FAILED,1407.33,2407.99,1170.56,618.81,FAILED
DLTM_twitter454_70_12,SATISFIABLE,2738.47,FAILED,FAILED,798.62,FAILED,3475.04,1554.39,1679.94,FAILED,314.24,391.29,409.43,FAILED,679.11,1978.32,757.56,951.17,684.88,977.12,2284.22,2883.23,FAILED,2495.26,FAILED,3862.43,603.66,FAILED
DLTM_twitter634_77_14,SATISFIABLE,24.02,347.02,FAILED,298.59,FAILED,FAILED,526.18,3758.53,FAILED,454.53,150.74,159.13,FAILED,FAILED,FAILED,2983.04,220.20,FAILED,FAILED,FAILED,FAILED,FAILED,2287.55,FAILED,FAILED,291.30,FAILED
DLTM_twitter690_74_15,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
DLTM_twitter690_74_16,SATISFIABLE,466.03,84.00,FAILED,1274.39,1051.28,3261.93,1691.72,80.10,FAILED,165.51,66.28,709.60,FAILED,964.64,856.10,2611.33,1638.50,2792.86,3967.75,FAILED,743.96,FAILED,374.99,1678.18,FAILED,111.06,3554.94
DLTM_twitter774_83_17,SATISFIABLE,FAILED,FAILED,FAILED,4387.27,FAILED,FAILED,FAILED,FAILED,FAILED,221.43,79.68,81.27,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,275.07,FAILED
DLTM_twitter799_70_12,UNSATISFIABLE,4904.08,FAILED,FAILED,2429.90,FAILED,2148.40,1990.65,1518.04,FAILED,1536.58,2105.81,2072.01,FAILED,3701.77,1536.26,578.01,913.26,496.06,538.47,FAILED,2065.15,FAILED,4219.64,FAILED,FAILED,1482.05,FAILED
DLTM_twitter799_70_13,SATISFIABLE,81.44,187.97,FAILED,93.38,FAILED,4146.46,332.17,3159.00,FAILED,80.39,121.11,122.38,FAILED,FAILED,3198.07,875.24,994.90,1090.35,898.35,2084.29,FAILED,FAILED,FAILED,FAILED,FAILED,340.53,FAILED
DLTM_twitter845_79_18,SATISFIABLE,368.49,972.70,FAILED,101.04,118.84,2120.99,332.60,1153.73,FAILED,1094.19,355.78,357.66,FAILED,2292.41,3179.92,3059.45,1495.98,4245.86,2791.83,FAILED,FAILED,FAILED,1895.23,FAILED,FAILED,435.88,FAILED
DLTM_twitter845_79_19,SATISFIABLE,43.59,104.34,FAILED,848.76,119.75,421.81,1001.96,108.72,FAILED,36.61,44.26,42.91,FAILED,4576.93,976.19,2522.60,262.97,306.14,2731.74,FAILED,558.06,FAILED,387.53,FAILED,FAILED,101.67,207.86
Dodecahedron-k7,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
E00N10,UNSATISFIABLE,0.06,0.03,482.47,0.03,0.05,0.04,0.07,0.05,3.10,0.03,0.03,0.03,0.02,0.11,0.21,0.03,0.20,0.16,0.17,0.03,0.02,286.77,0.03,0.06,0.05,0.26,0.03
E00N15,UNSATISFIABLE,3.27,1.88,FAILED,2.84,24.32,3.62,1.72,2.16,FAILED,1.81,1.84,4.08,30.87,4.93,5.41,2.66,14.59,17.16,14.02,1.96,1.35,FAILED,3.64,4.71,5.12,2.65,2.06
