cnf,solution,abcdsat-2015,berkmin-2003,boehm1-1992,cadical-2019,chaff-2001,cryptominisat-2010,glucose-2011,glucose-2012,glucose-2016,grasp-1997,kissat-2020,kissat-mab-2021,kissat-mab-hywalk-2022,limmat-2002,lingeling-2010,lingeling-2011,lingeling-2013,lingeling-2014,maple-comsps-drup-2016,maple-lcm-disc-cb-dl-v3-2019,maple-lcm-dist-2017,maple-lcm-dist-cb-2018,minisat-2005,minisat-2006,minisat-2008,picosat-2007,precosat-2009,rsat-2007,satelite-gti-2005,siege-2003,zchaff-2004,zchaff-2007
grid-color-12-14-6-cb,SATISFIABLE,FAILED,FAILED,FAILED,2862.09,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,45.10,156.49,245.78,FAILED,FAILED,441.64,FAILED,457.02,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,1246.86,3104.61,FAILED,FAILED,FAILED,FAILED,FAILED
grid-color-12-14-8-cb,SATISFIABLE,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,159.81,8.27,121.22,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,611.58,3430.01,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
grid-color-14-14-10-cb,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
grid-color-14-14-12-cb,SATISFIABLE,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,2558.76,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
grid-color-14-14-14-cb,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
grid-color-14-14-2-cb,SATISFIABLE,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,2598.97,692.02,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
grid-color-14-14-6-cb,UNKNOWN,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
grid-color-14-14-8-cb,SATISFIABLE,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,305.19,FAILED,569.60,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
grid-strips-grid-y-3.045-NOTKNOWN,SATISFIABLE,1090.49,1415.23,FAILED,1556.88,FAILED,699.36,517.91,599.10,586.02,FAILED,209.31,505.94,397.01,FAILED,473.97,1244.60,360.44,209.31,263.56,754.04,FAILED,1214.48,FAILED,FAILED,397.63,FAILED,200.66,1724.12,FAILED,466.50,FAILED,FAILED
gss-18-s100,SATISFIABLE,307.08,46.89,FAILED,364.89,3093.31,857.91,12.38,27.08,63.62,FAILED,138.93,189.14,169.22,784.32,285.25,55.46,243.24,70.46,808.89,515.11,568.54,873.21,2029.54,436.56,817.58,3675.89,499.15,1783.49,789.32,879.60,FAILED,FAILED
